,Samp1,Samp2,Samp3,Samp4,Samp5,Samp6,Samp7,Samp8,Samp9,Samp10,Samp11,Samp12,Samp13,Samp14,Samp15,Samp16,Samp17,Samp18,Samp19,Samp20,Samp21,Samp22,Samp23,Samp24,Samp25,Samp26,Samp27,Samp28,Samp29,Samp30,Samp31,Samp32,Samp33,Samp34,Samp35,Samp36,Samp37,Samp38,Samp39,Samp40,Samp41,Samp42,Samp43,Samp44,Samp45,Samp46,Samp47,Samp48,Samp49,Samp50,Samp51,Samp52,Samp53,Samp54,Samp55,Samp56,Samp57,Samp58,Samp59,Samp60,Samp61,Samp62,Samp63,Samp64,Samp65,Samp66,Samp67,Samp68,Samp69,Samp70,Samp71,Samp72,Samp73,Samp74,Samp75,Samp76,Samp77,Samp78,Samp79,Samp80,Samp81,Samp82,Samp83,Samp84,Samp85,Samp86,Samp87,Samp88,Samp89,Samp90,Samp91,Samp92,Samp93,Samp94,Samp95,Samp96,Samp97,Samp98,Samp99,Samp100
Gene11,0,2,1,0,3,4,0,1,4,2,1,2,2,0,0,2,0,2,1,2,1,5,3,2,3,2,4,0,7,3,1,6,0,0,3,1,0,2,2,1,4,2,3,2,3,1,2,0,1,2,1,3,1,1,1,1,0,2,0,4,3,2,4,1,3,3,3,3,4,1,0,2,3,3,0,2,2,0,3,5,1,3,2,7,1,0,1,2,1,1,3,1,1,3,5,1,3,4,3,1
Gene12,5,0,2,2,3,2,1,3,2,3,2,4,2,4,1,1,1,1,0,1,2,3,3,0,2,3,2,0,2,1,1,3,2,3,1,2,2,1,2,5,5,5,2,5,0,3,4,3,2,1,3,2,1,1,0,1,1,2,2,1,5,0,0,1,2,3,2,4,1,0,1,0,3,3,1,3,2,3,4,0,1,4,2,1,4,1,2,4,2,0,2,4,2,1,2,4,1,2,4,3
Gene13,3,1,2,1,2,2,1,1,4,3,0,0,1,1,1,2,1,1,1,1,4,4,2,3,2,2,1,1,4,2,2,1,1,3,1,1,0,2,1,1,2,1,1,5,1,1,3,0,1,3,4,3,2,1,2,1,2,1,2,3,1,1,1,2,2,1,1,1,2,1,1,1,0,4,0,1,3,2,1,1,1,0,1,4,0,6,2,1,2,0,0,0,0,2,0,0,2,0,3,2
Gene14,1,0,2,5,1,0,4,1,2,2,1,1,2,2,2,3,1,1,4,1,3,2,0,3,3,3,3,1,3,4,6,3,0,1,4,2,1,4,2,0,0,3,2,1,1,1,3,0,1,0,4,3,1,0,1,0,2,3,2,2,1,0,0,2,1,2,2,3,2,1,2,1,2,0,1,1,3,1,2,0,0,1,2,3,4,3,1,4,3,1,3,3,5,2,4,1,1,0,3,3
Gene15,1,1,3,6,3,3,2,1,2,4,2,1,1,3,2,4,2,2,1,2,0,1,2,2,1,1,2,0,1,0,2,1,0,4,0,1,3,3,3,2,4,3,3,1,5,2,2,1,0,1,3,1,0,0,1,5,3,5,2,2,1,1,0,0,1,0,2,1,3,1,2,5,1,3,4,4,3,2,2,3,2,2,1,4,3,3,4,3,4,3,4,1,4,0,2,1,2,2,1,2
Gene16,4,2,3,1,1,4,0,0,2,0,5,1,1,2,2,1,3,5,2,0,3,2,2,0,2,1,0,8,3,0,4,2,2,3,2,2,1,2,1,1,3,2,1,5,1,5,0,4,3,3,2,5,1,2,1,2,3,1,1,4,4,3,2,4,0,1,1,2,5,2,3,4,1,0,1,3,3,1,4,1,1,4,1,2,3,2,2,0,3,3,2,0,1,2,1,4,1,1,1,5
Gene17,1,0,1,2,1,3,2,0,1,1,1,4,0,2,1,3,2,0,0,3,3,1,0,0,4,1,5,0,2,1,3,2,3,3,3,3,0,2,1,0,3,3,2,0,2,0,3,2,4,1,1,4,2,4,1,2,0,4,0,0,4,1,3,2,3,0,3,3,2,3,4,2,0,1,1,3,2,1,0,1,1,3,3,1,1,1,1,1,2,1,2,3,0,0,3,3,2,1,0,4
Gene18,4,2,2,0,1,5,1,2,2,3,2,3,3,1,4,3,2,4,4,1,1,2,4,4,1,0,2,5,3,1,2,1,5,0,2,1,0,2,1,1,4,4,1,1,5,0,1,1,3,2,2,1,2,0,2,4,3,2,0,1,0,2,1,4,3,1,6,1,1,4,1,1,0,3,1,2,2,0,5,4,1,3,3,1,3,6,0,0,0,2,3,5,0,3,0,2,2,2,6,3
Gene19,2,3,1,0,1,4,2,1,1,1,1,1,3,1,0,2,2,4,1,2,1,2,1,1,2,2,1,1,1,4,3,1,1,2,0,6,1,4,3,1,3,1,3,2,0,1,1,1,2,0,6,2,3,3,2,0,2,3,3,3,2,0,2,3,3,4,1,0,1,4,3,3,1,4,4,0,0,1,2,3,1,1,5,2,1,2,2,3,3,1,3,0,3,1,0,2,0,2,5,1
Gene20,1,3,3,2,3,3,3,1,10,2,9,10,0,3,0,0,2,0,1,1,4,1,3,10,4,3,2,2,4,2,2,1,1,3,1,3,0,0,2,0,1,1,1,0,1,1,0,1,1,3,0,0,2,1,1,3,1,0,1,1,0,1,2,0,0,1,3,5,4,3,2,4,0,1,1,2,1,1,4,3,3,1,4,4,0,0,1,4,1,1,4,1,2,3,2,2,1,2,0,0
